PICKUP_DATE,MONTH_OF_PICKUP,TOTAL_PICKUP
2014-08-23,August,121
2014-10-09,October,121
2014-09-09,September,120
2014-10-26,October,120
2014-07-27,July,120
2014-05-06,May,120
2014-12-23,December,120
2014-11-11,November,120
2014-07-01,July,120
2014-10-30,October,119
2014-07-28,July,119
2014-10-07,October,119
2014-08-04,August,119
2014-11-29,November,118
2014-01-23,January,118
2014-08-08,August,118
2014-05-14,May,118
2014-07-03,July,118
2014-08-10,August,117
2014-03-23,March,117
2014-08-06,August,117
2014-01-06,January,117
2014-11-28,November,117
2014-06-16,June,116
2014-12-21,December,116
2014-08-27,August,116
2014-10-13,October,115
2014-08-21,August,115
2014-05-05,May,115
2014-11-05,November,115
2014-04-21,April,115
2014-09-23,September,114
2014-05-24,May,114
2014-09-29,September,114
2014-08-13,August,114
2014-12-31,December,113
2014-07-07,July,112
2014-08-24,August,112
2014-05-25,May,112
2014-08-31,August,111
2014-01-02,January,111
2014-06-08,June,111
2014-08-26,August,111
2014-08-18,August,110
2014-07-02,July,110
2014-09-16,September,109
2014-01-05,January,109
2014-02-03,February,108
2014-08-28,August,108
2014-09-02,September,108
2014-08-17,August,107
2014-12-24,December,107
2014-06-23,June,107
2014-01-04,January,107
2014-12-30,December,106
2014-11-24,November,106
2014-08-29,August,106
2014-01-20,January,105
2014-02-23,February,105
2014-08-25,August,105
2014-02-10,February,105
2014-12-27,December,102
2014-12-22,December,102
2014-07-06,July,101
2014-02-13,February,100
2014-09-01,September,99
2014-12-29,December,98
2014-07-04,July,98
2014-12-28,December,98
2014-11-27,November,94
2014-07-05,July,94
2014-11-30,November,93
2014-05-26,May,92
2014-01-22,January,87
2014-12-26,December,83
2014-01-03,January,80
2014-01-21,January,72
2014-12-25,December,62
