PICKUP_DATE,PICKUP_DAY,PICKUP_TIME,NUMBER_OF_TRIP
2014-07-27,Sunday,16 hr,9
2014-03-23,Sunday,2 hr,9
2014-07-30,Wednesday,8 hr,9
2014-07-08,Tuesday,9 hr,9
2014-06-09,Monday,20 hr,9
2014-04-25,Friday,21 hr,9
2014-08-04,Monday,21 hr,9
2014-03-14,Friday,8 hr,9
2014-03-23,Sunday,14 hr,9
2014-01-14,Tuesday,13 hr,9
2014-04-28,Monday,10 hr,9
2014-03-20,Thursday,18 hr,9
2014-02-19,Wednesday,21 hr,9
2014-04-28,Monday,17 hr,9
2014-12-01,Monday,23 hr,9
2014-06-18,Wednesday,19 hr,9
2014-11-02,Sunday,15 hr,9
2014-11-10,Monday,20 hr,9
2014-08-12,Tuesday,22 hr,9
2014-10-22,Wednesday,9 hr,9
2014-05-14,Wednesday,9 hr,9
2014-08-22,Friday,9 hr,9
2014-09-08,Monday,8 hr,9
2014-04-24,Thursday,14 hr,9
2014-01-01,Wednesday,18 hr,9
2014-01-10,Friday,19 hr,9
2014-04-27,Sunday,3 hr,9
2014-07-20,Sunday,14 hr,9
2014-12-22,Monday,14 hr,9
2014-09-11,Thursday,7 hr,9
2014-07-15,Tuesday,20 hr,9
2014-02-12,Wednesday,23 hr,9
2014-04-04,Friday,12 hr,9
2014-09-27,Saturday,3 hr,9
2014-10-21,Tuesday,12 hr,9
2014-03-28,Friday,11 hr,9
2014-08-11,Monday,14 hr,9
2014-11-15,Saturday,1 hr,9
2014-04-22,Tuesday,20 hr,9
2014-04-07,Monday,21 hr,9
2014-11-01,Saturday,20 hr,9
2014-11-15,Saturday,20 hr,9
2014-09-06,Saturday,17 hr,9
2014-08-18,Monday,19 hr,9
2014-05-22,Thursday,9 hr,9
2014-05-06,Tuesday,22 hr,9
2014-02-22,Saturday,18 hr,9
2014-02-16,Sunday,20 hr,9
2014-11-03,Monday,22 hr,9
2014-03-02,Sunday,10 hr,9
2014-11-24,Monday,20 hr,9
2014-06-01,Sunday,3 hr,9
2014-02-04,Tuesday,12 hr,9
2014-06-20,Friday,1 hr,9
2014-02-02,Sunday,15 hr,9
2014-12-14,Sunday,18 hr,9
2014-12-11,Thursday,7 hr,9
2014-04-02,Wednesday,9 hr,9
2014-12-19,Friday,22 hr,9
2014-07-19,Saturday,18 hr,9
2014-08-05,Tuesday,18 hr,9
2014-08-17,Sunday,14 hr,9
2014-04-10,Thursday,14 hr,9
2014-02-13,Thursday,19 hr,9
2014-07-23,Wednesday,13 hr,9
2014-05-10,Saturday,14 hr,9
2014-11-07,Friday,15 hr,9
2014-07-29,Tuesday,10 hr,9
2014-09-21,Sunday,12 hr,9
2014-04-24,Thursday,10 hr,9
2014-05-04,Sunday,2 hr,9
2014-04-13,Sunday,19 hr,9
2014-09-04,Thursday,21 hr,9
2014-02-17,Monday,8 hr,9
2014-07-03,Thursday,13 hr,9
2014-10-11,Saturday,19 hr,9
2014-09-05,Friday,21 hr,9
2014-04-11,Friday,8 hr,9
2014-09-18,Thursday,14 hr,9
2014-01-27,Monday,23 hr,9
2014-03-16,Sunday,13 hr,9
2014-09-12,Friday,23 hr,9
2014-10-05,Sunday,10 hr,9
2014-02-26,Wednesday,20 hr,9
2014-05-05,Monday,9 hr,9
2014-01-01,Wednesday,2 hr,9
2014-11-14,Friday,21 hr,9
2014-11-23,Sunday,1 hr,9
2014-06-27,Friday,0 hr,9
2014-09-03,Wednesday,15 hr,9
2014-12-16,Tuesday,22 hr,9
2014-04-12,Saturday,2 hr,9
2014-04-07,Monday,9 hr,9
2014-03-03,Monday,10 hr,9
2014-02-04,Tuesday,14 hr,9
2014-04-01,Tuesday,9 hr,9
2014-04-16,Wednesday,20 hr,9
2014-12-09,Tuesday,8 hr,9
2014-09-05,Friday,9 hr,9
2014-11-09,Sunday,13 hr,9
2014-08-21,Thursday,12 hr,9
2014-05-21,Wednesday,10 hr,9
2014-07-14,Monday,11 hr,9
2014-08-30,Saturday,19 hr,9
2014-10-01,Wednesday,20 hr,9
2014-03-21,Friday,20 hr,9
2014-03-12,Wednesday,10 hr,9
2014-12-04,Thursday,20 hr,9
2014-05-24,Saturday,17 hr,9
2014-06-25,Wednesday,19 hr,9
2014-04-27,Sunday,0 hr,9
2014-07-11,Friday,10 hr,9
2014-05-03,Saturday,23 hr,9
2014-04-11,Friday,18 hr,9
2014-03-22,Saturday,23 hr,9
2014-01-15,Wednesday,22 hr,9
2014-07-19,Saturday,23 hr,9
2014-05-12,Monday,10 hr,9
2014-05-13,Tuesday,16 hr,9
2014-03-20,Thursday,17 hr,9
2014-08-12,Tuesday,13 hr,9
2014-05-03,Saturday,16 hr,9
2014-04-04,Friday,21 hr,9
2014-04-07,Monday,18 hr,9
2014-08-19,Tuesday,23 hr,9
2014-01-17,Friday,12 hr,9
2014-06-06,Friday,22 hr,9
2014-06-21,Saturday,17 hr,9
2014-11-01,Saturday,17 hr,9
2014-07-18,Friday,13 hr,9
2014-08-27,Wednesday,13 hr,9
2014-12-16,Tuesday,15 hr,9
2014-06-07,Saturday,17 hr,9
2014-08-05,Tuesday,23 hr,9
2014-04-10,Thursday,21 hr,9
2014-05-01,Thursday,15 hr,9
2014-06-04,Wednesday,22 hr,9
2014-11-10,Monday,23 hr,9
2014-06-30,Monday,16 hr,9
2014-10-12,Sunday,12 hr,9
2014-10-01,Wednesday,18 hr,9
2014-03-06,Thursday,13 hr,9
2014-05-10,Saturday,11 hr,9
2014-11-02,Sunday,14 hr,9
2014-04-01,Tuesday,23 hr,9
2014-08-31,Sunday,13 hr,9
2014-02-20,Thursday,19 hr,9
2014-04-23,Wednesday,21 hr,9
2014-07-03,Thursday,17 hr,9
2014-11-08,Saturday,12 hr,9
2014-04-05,Saturday,20 hr,9
2014-02-24,Monday,8 hr,9
2014-11-04,Tuesday,18 hr,9
2014-01-08,Wednesday,8 hr,9
2014-02-22,Saturday,0 hr,9
2014-01-12,Sunday,15 hr,9
2014-07-25,Friday,16 hr,9
2014-06-02,Monday,7 hr,9
2014-09-06,Saturday,11 hr,9
2014-07-23,Wednesday,22 hr,9
2014-04-25,Friday,8 hr,9
2014-01-15,Wednesday,14 hr,9
2014-09-29,Monday,11 hr,9
2014-10-07,Tuesday,22 hr,9
2014-03-19,Wednesday,8 hr,9
2014-11-19,Wednesday,18 hr,9
2014-12-23,Tuesday,14 hr,9
2014-05-15,Thursday,21 hr,9
2014-08-26,Tuesday,14 hr,9
2014-07-14,Monday,19 hr,9
2014-04-03,Thursday,12 hr,9
2014-01-20,Monday,14 hr,9
2014-04-07,Monday,20 hr,9
2014-05-27,Tuesday,11 hr,9
2014-02-03,Monday,19 hr,9
2014-01-17,Friday,8 hr,9
2014-05-18,Sunday,14 hr,9
2014-03-26,Wednesday,10 hr,9
2014-06-01,Sunday,15 hr,9
2014-09-10,Wednesday,15 hr,9
2014-10-24,Friday,21 hr,9
2014-10-20,Monday,12 hr,9
2014-07-16,Wednesday,12 hr,9
2014-02-11,Tuesday,15 hr,9
2014-01-31,Friday,18 hr,9
2014-11-01,Saturday,22 hr,9
2014-10-14,Tuesday,9 hr,9
2014-09-27,Saturday,21 hr,9
2014-03-22,Saturday,11 hr,9
2014-08-30,Saturday,14 hr,9
2014-09-19,Friday,23 hr,9
2014-02-22,Saturday,23 hr,9
2014-10-27,Monday,22 hr,9
2014-09-22,Monday,17 hr,9
2014-04-12,Saturday,16 hr,9
2014-12-18,Thursday,23 hr,9
2014-03-18,Tuesday,16 hr,9
2014-10-17,Friday,23 hr,9
2014-03-01,Saturday,17 hr,9
2014-12-03,Wednesday,21 hr,9
2014-12-28,Sunday,0 hr,9
2014-05-16,Friday,14 hr,9
2014-03-06,Thursday,11 hr,9
2014-08-13,Wednesday,19 hr,9
2014-08-27,Wednesday,15 hr,9
2014-11-06,Thursday,20 hr,9
2014-05-19,Monday,11 hr,9
2014-09-14,Sunday,0 hr,9
2014-08-07,Thursday,12 hr,9
2014-10-03,Friday,23 hr,9
2014-05-08,Thursday,12 hr,9
2014-01-09,Thursday,8 hr,9
2014-01-13,Monday,21 hr,9
2014-03-04,Tuesday,9 hr,9
2014-01-29,Wednesday,22 hr,9
2014-10-06,Monday,12 hr,9
2014-09-23,Tuesday,18 hr,9
2014-10-06,Monday,19 hr,9
2014-09-09,Tuesday,12 hr,9
2014-04-09,Wednesday,10 hr,9
2014-05-15,Thursday,10 hr,9
2014-09-03,Wednesday,20 hr,9
2014-05-08,Thursday,7 hr,9
2014-12-06,Saturday,13 hr,9
2014-09-28,Sunday,12 hr,9
2014-03-28,Friday,20 hr,9
2014-02-28,Friday,18 hr,9
2014-08-08,Friday,14 hr,9
2014-03-05,Wednesday,17 hr,9
2014-09-06,Saturday,19 hr,9
2014-06-17,Tuesday,10 hr,9
2014-01-25,Saturday,20 hr,9
2014-04-25,Friday,20 hr,9
2014-12-09,Tuesday,15 hr,9
2014-05-07,Wednesday,20 hr,9
2014-05-02,Friday,18 hr,9
2014-07-12,Saturday,13 hr,9
2014-05-18,Sunday,3 hr,9
2014-08-23,Saturday,13 hr,9
2014-04-27,Sunday,19 hr,9
2014-03-01,Saturday,22 hr,9
2014-05-11,Sunday,15 hr,9
2014-12-14,Sunday,1 hr,9
2014-12-11,Thursday,9 hr,9
2014-05-16,Friday,0 hr,8
2014-09-04,Thursday,7 hr,8
2014-08-28,Thursday,7 hr,8
2014-05-27,Tuesday,23 hr,8
2014-03-24,Monday,23 hr,8
2014-08-12,Tuesday,20 hr,8
2014-11-20,Thursday,8 hr,8
2014-09-08,Monday,13 hr,8
2014-07-30,Wednesday,19 hr,8
2014-03-14,Friday,13 hr,8
2014-05-11,Sunday,10 hr,8
2014-02-09,Sunday,1 hr,8
2014-01-30,Thursday,9 hr,8
2014-09-07,Sunday,10 hr,8
2014-12-05,Friday,19 hr,8
2014-02-13,Thursday,14 hr,8
2014-06-02,Monday,8 hr,8
2014-12-25,Thursday,14 hr,8
2014-06-07,Saturday,12 hr,8
2014-04-03,Thursday,10 hr,8
2014-05-14,Wednesday,18 hr,8
2014-01-23,Thursday,20 hr,8
2014-01-14,Tuesday,20 hr,8
2014-03-08,Saturday,11 hr,8
2014-11-16,Sunday,13 hr,8
2014-06-28,Saturday,13 hr,8
2014-05-05,Monday,23 hr,8
2014-07-18,Friday,8 hr,8
2014-11-16,Sunday,1 hr,8
2014-01-18,Saturday,10 hr,8
2014-08-27,Wednesday,8 hr,8
2014-04-02,Wednesday,23 hr,8
2014-11-01,Saturday,3 hr,8
2014-11-24,Monday,13 hr,8
2014-09-18,Thursday,19 hr,8
2014-12-05,Friday,12 hr,8
2014-11-01,Saturday,15 hr,8
2014-03-25,Tuesday,22 hr,8
2014-02-21,Friday,12 hr,8
2014-07-26,Saturday,20 hr,8
2014-02-03,Monday,15 hr,8
2014-04-17,Thursday,18 hr,8
2014-08-16,Saturday,14 hr,8
2014-12-02,Tuesday,10 hr,8
2014-05-28,Wednesday,18 hr,8
2014-11-25,Tuesday,12 hr,8
2014-10-16,Thursday,15 hr,8
2014-05-01,Thursday,10 hr,8
2014-04-16,Wednesday,8 hr,8
2014-07-21,Monday,23 hr,8
2014-12-06,Saturday,1 hr,8
2014-07-30,Wednesday,12 hr,8
2014-06-21,Saturday,12 hr,8
2014-06-21,Saturday,0 hr,8
2014-04-22,Tuesday,18 hr,8
2014-01-17,Friday,7 hr,8
2014-02-22,Saturday,16 hr,8
2014-10-26,Sunday,0 hr,8
2014-09-20,Saturday,12 hr,8
2014-11-07,Friday,17 hr,8
2014-06-06,Friday,8 hr,8
2014-11-16,Sunday,20 hr,8
2014-07-08,Tuesday,18 hr,8
2014-11-14,Friday,7 hr,8
2014-11-25,Tuesday,7 hr,8
2014-12-20,Saturday,23 hr,8
2014-01-21,Tuesday,11 hr,8
2014-05-15,Thursday,17 hr,8
2014-10-27,Monday,18 hr,8
2014-09-16,Tuesday,15 hr,8
2014-02-11,Tuesday,11 hr,8
2014-05-07,Wednesday,12 hr,8
2014-10-10,Friday,19 hr,8
2014-03-30,Sunday,18 hr,8
2014-02-01,Saturday,19 hr,8
2014-08-08,Friday,13 hr,8
2014-10-03,Friday,20 hr,8
2014-06-18,Wednesday,20 hr,8
2014-07-04,Friday,11 hr,8
2014-04-08,Tuesday,14 hr,8
2014-10-03,Friday,8 hr,8
2014-05-26,Monday,16 hr,8
2014-06-10,Tuesday,15 hr,8
2014-02-23,Sunday,20 hr,8
2014-05-31,Saturday,0 hr,8
2014-12-27,Saturday,15 hr,8
2014-03-19,Wednesday,20 hr,8
2014-07-08,Tuesday,22 hr,8
2014-12-12,Friday,12 hr,8
2014-04-05,Saturday,13 hr,8
2014-06-13,Friday,23 hr,8
2014-10-22,Wednesday,15 hr,8
2014-04-28,Monday,9 hr,8
2014-01-10,Friday,20 hr,8
2014-07-22,Tuesday,20 hr,8
2014-10-29,Wednesday,10 hr,8
2014-08-17,Sunday,11 hr,8
2014-12-03,Wednesday,16 hr,8
2014-02-16,Sunday,2 hr,8
2014-08-10,Sunday,20 hr,8
2014-08-25,Monday,13 hr,8
2014-10-18,Saturday,23 hr,8
2014-09-21,Sunday,2 hr,8
2014-10-27,Monday,8 hr,8
2014-09-30,Tuesday,18 hr,8
2014-03-17,Monday,8 hr,8
2014-02-25,Tuesday,17 hr,8
2014-06-13,Friday,19 hr,8
2014-10-28,Tuesday,23 hr,8
2014-04-15,Tuesday,21 hr,8
2014-07-04,Friday,13 hr,8
2014-07-23,Wednesday,20 hr,8
2014-09-02,Tuesday,8 hr,8
2014-04-13,Sunday,12 hr,8
2014-09-06,Saturday,14 hr,8
2014-03-29,Saturday,14 hr,8
2014-02-02,Sunday,3 hr,8
2014-05-01,Thursday,8 hr,8
2014-10-24,Friday,7 hr,8
2014-12-23,Tuesday,10 hr,8
2014-12-27,Saturday,19 hr,8
2014-05-16,Friday,12 hr,8
2014-01-11,Saturday,11 hr,8
2014-07-28,Monday,20 hr,8
2014-02-14,Friday,23 hr,8
2014-05-13,Tuesday,18 hr,8
2014-02-06,Thursday,20 hr,8
2014-06-09,Monday,10 hr,8
2014-05-18,Sunday,10 hr,8
2014-04-28,Monday,14 hr,8
2014-11-27,Thursday,21 hr,8
2014-04-21,Monday,16 hr,8
2014-12-05,Friday,0 hr,8
2014-09-15,Monday,14 hr,8
2014-09-25,Thursday,20 hr,8
2014-08-01,Friday,8 hr,8
2014-02-12,Wednesday,8 hr,8
2014-07-15,Tuesday,19 hr,8
2014-06-11,Wednesday,23 hr,8
2014-06-15,Sunday,22 hr,8
2014-09-17,Wednesday,6 hr,8
2014-07-01,Tuesday,12 hr,8
2014-03-30,Sunday,0 hr,8
2014-09-06,Saturday,0 hr,8
2014-10-16,Thursday,22 hr,8
2014-07-20,Sunday,16 hr,8
2014-11-12,Wednesday,16 hr,8
2014-06-13,Friday,9 hr,8
2014-12-09,Tuesday,20 hr,8
2014-05-18,Sunday,22 hr,8
2014-11-07,Friday,10 hr,8
2014-04-15,Tuesday,9 hr,8
2014-06-13,Friday,7 hr,8
2014-04-17,Thursday,23 hr,8
2014-07-15,Tuesday,17 hr,8
2014-06-08,Sunday,15 hr,8
2014-08-30,Saturday,12 hr,8
2014-07-10,Thursday,15 hr,8
2014-06-30,Monday,23 hr,8
2014-08-09,Saturday,18 hr,8
2014-01-25,Saturday,15 hr,8
2014-03-18,Tuesday,21 hr,8
2014-11-15,Saturday,17 hr,8
2014-07-26,Saturday,18 hr,8
2014-02-18,Tuesday,22 hr,8
2014-02-11,Tuesday,13 hr,8
2014-11-08,Saturday,15 hr,8
2014-11-05,Wednesday,9 hr,8
2014-04-19,Saturday,16 hr,8
2014-04-01,Tuesday,21 hr,8
2014-11-09,Sunday,1 hr,8
2014-03-10,Monday,21 hr,8
2014-11-02,Sunday,11 hr,8
2014-08-15,Friday,15 hr,8
2014-08-22,Friday,18 hr,8
2014-04-01,Tuesday,14 hr,8
2014-06-08,Sunday,10 hr,8
2014-06-29,Sunday,16 hr,8
2014-07-10,Thursday,22 hr,8
2014-07-01,Tuesday,7 hr,8
2014-09-06,Saturday,2 hr,8
2014-12-28,Sunday,17 hr,8
2014-04-08,Tuesday,11 hr,8
2014-01-07,Tuesday,9 hr,8
2014-06-05,Thursday,9 hr,8
2014-05-09,Friday,21 hr,8
2014-08-02,Saturday,23 hr,8
2014-02-01,Saturday,3 hr,8
2014-04-23,Wednesday,11 hr,8
2014-01-28,Tuesday,13 hr,8
2014-08-15,Friday,8 hr,8
2014-09-11,Thursday,9 hr,8
2014-10-24,Friday,0 hr,8
2014-12-13,Saturday,23 hr,8
2014-01-19,Sunday,10 hr,8
2014-12-05,Friday,20 hr,8
2014-10-06,Monday,20 hr,8
2014-09-28,Sunday,17 hr,8
2014-07-13,Sunday,23 hr,8
2014-04-19,Saturday,13 hr,8
2014-10-25,Saturday,15 hr,8
2014-04-13,Sunday,15 hr,8
2014-04-13,Sunday,22 hr,8
2014-03-01,Saturday,12 hr,8
2014-06-24,Tuesday,12 hr,8
2014-03-11,Tuesday,8 hr,8
2014-12-18,Thursday,18 hr,8
2014-11-28,Friday,12 hr,8
2014-03-10,Monday,18 hr,8
2014-09-16,Tuesday,21 hr,8
2014-06-10,Tuesday,14 hr,8
2014-04-27,Sunday,15 hr,8
2014-09-05,Friday,18 hr,8
2014-12-11,Thursday,16 hr,8
2014-07-26,Saturday,9 hr,8
2014-02-18,Tuesday,19 hr,8
2014-11-08,Saturday,18 hr,8
2014-07-12,Saturday,11 hr,8
2014-03-20,Thursday,8 hr,8
2014-11-11,Tuesday,16 hr,8
2014-11-25,Tuesday,20 hr,8
2014-04-16,Wednesday,16 hr,8
2014-07-30,Wednesday,20 hr,8
2014-09-24,Wednesday,15 hr,8
2014-06-05,Thursday,19 hr,8
2014-05-05,Monday,18 hr,8
2014-07-24,Thursday,20 hr,8
2014-01-13,Monday,16 hr,8
2014-05-09,Friday,23 hr,8
2014-12-29,Monday,18 hr,8
2014-07-29,Tuesday,20 hr,8
2014-02-08,Saturday,23 hr,8
2014-09-21,Sunday,22 hr,8
2014-04-15,Tuesday,18 hr,8
2014-02-17,Monday,13 hr,8
2014-06-18,Wednesday,9 hr,8
2014-04-05,Saturday,2 hr,8
2014-02-22,Saturday,1 hr,8
2014-09-25,Thursday,23 hr,8
2014-10-01,Wednesday,11 hr,8
2014-12-15,Monday,11 hr,8
2014-10-31,Friday,14 hr,8
2014-07-07,Monday,7 hr,8
2014-10-14,Tuesday,23 hr,8
2014-09-30,Tuesday,21 hr,8
2014-04-27,Sunday,22 hr,8
2014-03-08,Saturday,16 hr,8
2014-06-26,Thursday,15 hr,8
2014-10-15,Wednesday,11 hr,8
2014-09-23,Tuesday,7 hr,8
2014-09-09,Tuesday,10 hr,8
2014-03-22,Saturday,21 hr,8
2014-01-11,Saturday,9 hr,8
2014-11-22,Saturday,16 hr,8
2014-06-24,Tuesday,19 hr,8
2014-10-16,Thursday,17 hr,8
2014-11-14,Friday,12 hr,8
2014-04-20,Sunday,16 hr,8
2014-11-29,Saturday,11 hr,8
2014-10-23,Thursday,8 hr,8
2014-10-17,Friday,0 hr,8
2014-07-31,Thursday,14 hr,8
2014-05-15,Thursday,8 hr,8
2014-05-01,Thursday,17 hr,8
2014-07-18,Friday,22 hr,8
2014-05-20,Tuesday,13 hr,8
2014-10-08,Wednesday,19 hr,8
2014-08-29,Friday,23 hr,8
2014-01-11,Saturday,2 hr,8
2014-06-22,Sunday,3 hr,8
2014-09-08,Monday,20 hr,8
2014-08-15,Friday,18 hr,8
2014-12-14,Sunday,9 hr,8
2014-04-26,Saturday,0 hr,8
2014-09-22,Monday,10 hr,8
2014-04-23,Wednesday,8 hr,8
2014-10-20,Monday,13 hr,8
2014-08-06,Wednesday,18 hr,8
2014-06-15,Sunday,11 hr,8
2014-09-21,Sunday,15 hr,8
2014-01-31,Friday,23 hr,8
2014-03-21,Friday,15 hr,8
2014-11-28,Friday,17 hr,8
2014-03-09,Sunday,16 hr,8
2014-12-06,Saturday,2 hr,8
2014-06-06,Friday,18 hr,8
2014-05-25,Sunday,22 hr,8
2014-01-14,Tuesday,18 hr,8
2014-08-19,Tuesday,13 hr,8
2014-09-18,Thursday,10 hr,8
2014-09-26,Friday,23 hr,8
2014-05-07,Wednesday,18 hr,8
2014-10-10,Friday,13 hr,8
2014-03-11,Tuesday,13 hr,8
2014-08-11,Monday,21 hr,8
2014-11-05,Wednesday,7 hr,8
2014-06-16,Monday,18 hr,8
2014-05-18,Sunday,20 hr,8
2014-05-02,Friday,12 hr,8
2014-03-29,Saturday,12 hr,8
2014-01-17,Friday,14 hr,8
2014-12-14,Sunday,2 hr,8
2014-03-15,Saturday,12 hr,8
2014-05-08,Thursday,15 hr,8
2014-06-24,Tuesday,17 hr,8
2014-06-23,Monday,15 hr,8
2014-06-08,Sunday,1 hr,8
2014-08-07,Thursday,15 hr,8
2014-07-20,Sunday,19 hr,8
2014-09-14,Sunday,22 hr,8
2014-08-24,Sunday,13 hr,8
2014-01-26,Sunday,9 hr,8
2014-04-13,Sunday,17 hr,8
2014-06-01,Sunday,18 hr,8
2014-08-03,Sunday,0 hr,8
2014-08-15,Friday,6 hr,8
2014-05-08,Thursday,22 hr,8
2014-08-05,Tuesday,15 hr,8
2014-01-15,Wednesday,18 hr,8
2014-06-24,Tuesday,10 hr,8
2014-04-07,Monday,19 hr,8
2014-09-03,Wednesday,23 hr,8
2014-10-27,Monday,19 hr,8
2014-09-01,Monday,16 hr,8
2014-07-09,Wednesday,17 hr,8
2014-04-18,Friday,19 hr,8
2014-08-03,Sunday,23 hr,8
2014-11-21,Friday,7 hr,8
2014-11-23,Sunday,13 hr,8
2014-07-28,Monday,13 hr,8
2014-02-09,Sunday,16 hr,8
2014-11-07,Friday,14 hr,8
2014-07-27,Sunday,21 hr,8
2014-02-11,Tuesday,12 hr,8
2014-01-15,Wednesday,17 hr,8
2014-06-10,Tuesday,12 hr,8
2014-01-24,Friday,14 hr,8
2014-11-13,Thursday,17 hr,8
2014-05-21,Wednesday,12 hr,8
2014-03-10,Monday,7 hr,8
2014-07-03,Thursday,8 hr,8
2014-02-24,Monday,11 hr,8
2014-12-16,Tuesday,20 hr,8
2014-02-11,Tuesday,8 hr,8
2014-05-25,Sunday,12 hr,8
2014-03-31,Monday,9 hr,8
2014-01-06,Monday,20 hr,8
2014-09-23,Tuesday,9 hr,8
2014-09-12,Friday,20 hr,8
2014-11-29,Saturday,13 hr,8
2014-02-14,Friday,16 hr,8
2014-12-14,Sunday,23 hr,8
2014-03-01,Saturday,0 hr,8
2014-01-19,Sunday,18 hr,8
2014-09-02,Tuesday,9 hr,8
2014-12-04,Thursday,23 hr,8
2014-09-13,Saturday,17 hr,8
2014-12-28,Sunday,9 hr,8
2014-04-11,Friday,9 hr,8
2014-06-11,Wednesday,14 hr,8
2014-02-04,Tuesday,17 hr,8
2014-03-04,Tuesday,19 hr,8
2014-10-28,Tuesday,19 hr,8
2014-03-08,Saturday,2 hr,8
2014-09-14,Sunday,10 hr,8
2014-05-16,Friday,16 hr,8
2014-06-09,Monday,22 hr,8
2014-10-18,Saturday,12 hr,8
2014-12-03,Wednesday,17 hr,8
2014-07-14,Monday,8 hr,8
2014-12-18,Thursday,13 hr,8
2014-11-11,Tuesday,18 hr,8
2014-10-29,Wednesday,18 hr,8
2014-10-11,Saturday,17 hr,8
2014-04-03,Thursday,13 hr,8
2014-02-01,Saturday,20 hr,8
2014-06-05,Thursday,21 hr,8
2014-07-19,Saturday,2 hr,8
2014-04-16,Wednesday,18 hr,8
2014-05-02,Friday,21 hr,8
2014-08-20,Wednesday,22 hr,8
2014-02-06,Thursday,18 hr,8
2014-04-18,Friday,10 hr,8
2014-08-11,Monday,9 hr,8
2014-05-19,Monday,14 hr,8
2014-04-25,Friday,23 hr,8
2014-02-20,Thursday,20 hr,8
2014-11-01,Saturday,13 hr,8
2014-03-12,Wednesday,13 hr,8
2014-10-10,Friday,1 hr,8
2014-07-11,Friday,14 hr,8
2014-01-02,Thursday,19 hr,8
2014-08-19,Tuesday,22 hr,8
2014-03-14,Friday,22 hr,8
2014-09-06,Saturday,3 hr,8
2014-10-06,Monday,15 hr,8
2014-02-16,Sunday,3 hr,8
2014-04-10,Thursday,19 hr,8
2014-03-08,Saturday,14 hr,8
2014-09-30,Tuesday,16 hr,8
2014-11-13,Thursday,18 hr,8
2014-09-28,Sunday,15 hr,8
2014-10-03,Friday,19 hr,8
2014-09-21,Sunday,13 hr,8
2014-09-21,Sunday,1 hr,8
2014-07-04,Friday,19 hr,8
2014-01-17,Friday,16 hr,8
2014-05-19,Monday,9 hr,8
2014-06-14,Saturday,13 hr,8
2014-06-11,Wednesday,7 hr,8
2014-06-19,Thursday,8 hr,8
2014-01-30,Thursday,0 hr,8
2014-12-11,Thursday,18 hr,8
2014-03-01,Saturday,19 hr,8
2014-12-05,Friday,23 hr,8
2014-10-06,Monday,23 hr,8
2014-04-10,Thursday,8 hr,8
2014-01-05,Sunday,12 hr,8
2014-07-22,Tuesday,10 hr,8
2014-08-22,Friday,19 hr,8
2014-03-28,Friday,21 hr,8
2014-07-01,Tuesday,13 hr,8
2014-10-24,Friday,13 hr,8
2014-02-15,Saturday,13 hr,8
2014-04-03,Thursday,14 hr,8
2014-12-10,Wednesday,11 hr,8
2014-03-06,Thursday,0 hr,8
2014-04-30,Wednesday,15 hr,8
2014-06-22,Sunday,20 hr,8
2014-03-18,Tuesday,8 hr,8
2014-08-08,Friday,17 hr,8
2014-09-06,Saturday,1 hr,8
2014-04-15,Tuesday,15 hr,8
2014-04-24,Thursday,11 hr,8
2014-04-23,Wednesday,17 hr,8
2014-12-14,Sunday,19 hr,8
2014-08-24,Sunday,21 hr,8
2014-03-20,Thursday,11 hr,8
2014-08-22,Friday,12 hr,8
2014-10-16,Thursday,7 hr,8
2014-12-20,Saturday,15 hr,8
2014-02-14,Friday,17 hr,8
2014-02-26,Wednesday,21 hr,8
2014-12-20,Saturday,22 hr,8
2014-06-17,Tuesday,23 hr,8
2014-05-05,Monday,17 hr,8
2014-09-19,Friday,17 hr,8
2014-12-07,Sunday,0 hr,8
2014-07-30,Wednesday,13 hr,8
2014-04-02,Wednesday,17 hr,8
2014-01-06,Monday,9 hr,8
2014-10-25,Saturday,12 hr,8
2014-01-01,Wednesday,3 hr,8
2014-12-18,Thursday,22 hr,8
2014-04-08,Tuesday,19 hr,8
2014-01-29,Wednesday,16 hr,8
2014-07-24,Thursday,13 hr,8
2014-06-11,Wednesday,10 hr,8
2014-04-20,Sunday,19 hr,8
2014-08-25,Monday,17 hr,8
2014-06-03,Tuesday,20 hr,8
2014-07-19,Saturday,17 hr,8
2014-02-06,Thursday,21 hr,8
2014-04-26,Saturday,23 hr,8
2014-04-24,Thursday,18 hr,8
2014-03-07,Friday,21 hr,8
2014-10-10,Friday,18 hr,8
2014-02-20,Thursday,17 hr,8
2014-05-29,Thursday,11 hr,8
2014-12-09,Tuesday,21 hr,8
2014-12-14,Sunday,14 hr,8
2014-02-08,Saturday,2 hr,8
2014-02-22,Saturday,10 hr,8
2014-03-09,Sunday,15 hr,8
2014-03-21,Friday,14 hr,8
2014-11-24,Monday,19 hr,8
2014-01-11,Saturday,22 hr,8
2014-08-16,Saturday,20 hr,8
2014-01-07,Tuesday,15 hr,8
2014-10-05,Sunday,11 hr,8
2014-03-04,Tuesday,15 hr,8
2014-05-07,Wednesday,19 hr,8
2014-12-06,Saturday,14 hr,8
2014-01-18,Saturday,16 hr,8
2014-10-04,Saturday,13 hr,8
2014-11-22,Saturday,14 hr,8
2014-11-19,Wednesday,8 hr,8
2014-06-13,Friday,8 hr,8
2014-08-12,Tuesday,21 hr,8
2014-05-10,Saturday,18 hr,8
