TRIP_DATE,TOTAL_TRIP
2014-12-20,129
2014-12-21,116
2014-12-22,102
2014-12-23,120
2014-12-24,107
2014-12-25,62
2014-12-26,83
2014-12-27,102
2014-12-28,98
2014-12-29,98
2014-12-30,106
2014-12-31,113
