PICKUP_DATE,DAY_OF_THE_WEEK,TRIP_COUNT
2014-11-25,Tuesday,132
2014-03-24,Monday,131
2014-04-14,Monday,131
2014-04-20,Sunday,131
2014-09-15,Monday,131
2014-06-24,Tuesday,131
2014-08-09,Saturday,131
2014-01-16,Thursday,131
2014-12-08,Monday,131
2014-04-07,Monday,131
2014-01-14,Tuesday,131
2014-10-01,Wednesday,131
2014-09-08,Monday,130
2014-11-17,Monday,130
2014-09-24,Wednesday,130
2014-11-09,Sunday,130
2014-07-08,Tuesday,130
2014-06-29,Sunday,129
2014-11-02,Sunday,129
2014-12-01,Monday,129
2014-02-02,Sunday,129
2014-03-10,Monday,129
2014-12-16,Tuesday,129
2014-12-20,Saturday,129
2014-05-13,Tuesday,129
2014-02-20,Thursday,129
2014-12-09,Tuesday,128
2014-07-21,Monday,128
2014-08-12,Tuesday,128
2014-02-24,Monday,128
2014-08-03,Sunday,128
2014-07-29,Tuesday,128
2014-12-15,Monday,128
2014-07-31,Thursday,127
2014-07-09,Wednesday,127
2014-11-03,Monday,127
2014-03-03,Monday,127
2014-10-21,Tuesday,126
2014-10-27,Monday,126
2014-05-11,Sunday,126
2014-06-07,Saturday,126
2014-01-15,Wednesday,126
2014-08-11,Monday,126
2014-06-15,Sunday,126
2014-12-04,Thursday,125
2014-11-18,Tuesday,125
2014-11-23,Sunday,125
2014-08-14,Thursday,125
2014-01-19,Sunday,125
2014-10-12,Sunday,125
2014-08-19,Tuesday,124
2014-06-30,Monday,124
2014-01-13,Monday,123
2014-02-17,Monday,123
2014-10-02,Thursday,123
2014-07-10,Thursday,122
2014-12-07,Sunday,122
2014-09-12,Friday,122
2014-12-02,Tuesday,122
2014-03-17,Monday,121
2014-08-23,Saturday,121
2014-08-22,Friday,121
2014-10-09,Thursday,121
2014-02-05,Wednesday,121
2014-10-26,Sunday,120
2014-07-27,Sunday,120
2014-07-01,Tuesday,120
2014-12-23,Tuesday,120
2014-05-06,Tuesday,120
2014-11-11,Tuesday,120
2014-09-09,Tuesday,120
2014-07-28,Monday,119
2014-10-30,Thursday,119
2014-10-07,Tuesday,119
2014-08-04,Monday,119
2014-05-14,Wednesday,118
2014-07-03,Thursday,118
2014-11-29,Saturday,118
2014-08-08,Friday,118
2014-01-23,Thursday,118
2014-11-28,Friday,117
2014-08-06,Wednesday,117
2014-01-06,Monday,117
2014-08-10,Sunday,117
2014-03-23,Sunday,117
2014-08-27,Wednesday,116
2014-06-16,Monday,116
2014-12-21,Sunday,116
2014-08-21,Thursday,115
2014-05-05,Monday,115
2014-04-21,Monday,115
2014-10-13,Monday,115
2014-11-05,Wednesday,115
2014-09-23,Tuesday,114
2014-08-13,Wednesday,114
2014-05-24,Saturday,114
2014-09-29,Monday,114
2014-12-31,Wednesday,113
2014-08-24,Sunday,112
2014-07-07,Monday,112
2014-05-25,Sunday,112
2014-01-02,Thursday,111
2014-06-08,Sunday,111
2014-08-31,Sunday,111
2014-08-26,Tuesday,111
2014-08-18,Monday,110
2014-07-02,Wednesday,110
2014-01-05,Sunday,109
2014-09-16,Tuesday,109
2014-09-02,Tuesday,108
2014-08-28,Thursday,108
2014-02-03,Monday,108
2014-08-17,Sunday,107
2014-12-24,Wednesday,107
2014-06-23,Monday,107
2014-01-04,Saturday,107
2014-08-29,Friday,106
2014-12-30,Tuesday,106
2014-11-24,Monday,106
2014-08-25,Monday,105
2014-02-10,Monday,105
2014-02-23,Sunday,105
2014-01-20,Monday,105
2014-12-22,Monday,102
2014-12-27,Saturday,102
2014-07-06,Sunday,101
2014-02-13,Thursday,100
2014-09-01,Monday,99
2014-12-29,Monday,98
2014-07-04,Friday,98
2014-12-28,Sunday,98
2014-11-27,Thursday,94
2014-07-05,Saturday,94
2014-11-30,Sunday,93
2014-05-26,Monday,92
2014-01-22,Wednesday,87
2014-12-26,Friday,83
2014-01-03,Friday,80
2014-01-21,Tuesday,72
2014-12-25,Thursday,62
